"사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","건물소유구분명","급수시설구분명","년도","다중이용업소여부","시설총규모","위생업종명","위생업태명","총종업원수","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명","기준일"
"(주)바운스 반포점","서울특별시 서초구 반포동 52-1번지 5층 ","서울특별시 서초구 고무래로 26 5층 (반포동)","20171027","운영중","","","","","91.90","137803","","","2017","N","91.9","일반음식점","키즈카페","","","200994.14656900000  ","444764.66861100000  ","3210000-101-2017-00446","영업","2018-04-25"
"스마트브릭 키즈카페","서울특별시 강남구 신사동 638-6번지 ","서울특별시 강남구 압구정로 312 지하1층 (신사동)","20171010","운영중","","","","","65.97","135896","","","2017","N","65.97","일반음식점","키즈카페","","","203139.32042800000  ","447698.68608700000  ","3220000-101-2017-00971","영업","2018-04-25"
"키키트리","서울특별시 마포구 아현동 780번지 애오개아이파크 ","서울특별시 마포구 굴레방로1길 25 지층 210호211호212호 (아현동 애오개아이파크)","20171218","운영중","","","","","163.00","121010","","","2017","N","163","일반음식점","키즈카페","","","196027              ","450200              ","3130000-101-2017-01065","영업","2018-04-25"
"노랑라운지","서울특별시 강동구 암사동 513-32번지 ","서울특별시 강동구 올림픽로 759 4층 (암사동)","20170519","운영중","","","","","73.00","134877","","","","","","일반음식점","키즈카페","","02-441-8250","211204.02647300000  ","449955.60277400000  ","3240000-101-2017-00161","영업","2018-04-25"
"키즈앤토이","서울특별시 강동구 천호동 397-3번지 ","서울특별시 강동구 구천면로 245 5층 (천호동)","20160613","운영중","","","","","95.00","134903","","","2016","N","95","일반음식점","키즈카페","","","211568.10074500000  ","449204.81405700000  ","3240000-101-2016-00186","영업","2018-04-25"
"헬로 HELLO","서울특별시 마포구 공덕동 105-98번지 1층일부 ","서울특별시 마포구 마포대로 190 (공덕동 1층일부)","20171012","운영중","","","","","26.13","121801","","","2017","N","26.13","일반음식점","키즈카페","","","196096.79250400000  ","450163.56722700000  ","3130000-101-2017-00851","영업","2018-04-25"
"디보빌리지 노원","서울특별시 노원구 상계동 292-1번지 ","서울특별시 노원구 노해로 507 3층 (상계동 와우쇼핑몰)","20140618","운영중","","","","","110.00","139816","","","","","","일반음식점","키즈카페","","02-950-0800","205637.71688400000  ","461756.66880800000  ","3100000-101-2014-00196","영업","2018-04-25"
"타요키즈카페중계점","서울특별시 노원구 중계동 434-1번지 ","서울특별시 노원구 덕릉로 669 (중계동 세양빌딩5층 501호)","20141020","운영중","","","","","153.00","139859","","","","","","일반음식점","키즈카페","","","206587.52138500000  ","461974.09208200000  ","3100000-101-2014-00320","영업","2018-04-25"
"핌(P.I.M)","서울특별시 서초구 반포동 649번지 솔빛섬 1층2층 ","서울특별시 서초구 올림픽대로 683 1층 2층 (반포동 솔빛섬)","20170830","운영중","","","","","90.00","137040","","","2017","N","90","일반음식점","키즈카페","","","199643.04809900000  ","445894.25220700000  ","3210000-101-2017-00363","영업","2018-04-25"
"점프노리","서울특별시 도봉구 창동 628-20번지 지상2층 ","서울특별시 도봉구 도봉로104길 53 2층 (창동)","20131203","운영중","","","","","101.40","132920","","상수도전용","2013","Y","101.4","일반음식점","키즈카페","","02-998-7770","203097.10010300000  ","460433.78373500000  ","3090000-101-2013-00229","영업","2018-04-25"
"키즈필실내놀이터","서울특별시 도봉구 쌍문동 358번지 동주빌딩 3층 ","서울특별시 도봉구 우이천로32길 38 (쌍문동 동주빌딩 3층)","20140827","운영중","","","","","69.78","132881","","","","","","일반음식점","키즈카페","","02-904-3210","202227.37601200000  ","461066.50212800000  ","3090000-101-2014-00152","영업","2018-04-25"
"키즈필키즈카페","서울특별시 성북구 하월곡동 79-107번지 지상5층 ","서울특별시 성북구 월계로 52 지상5층 (하월곡동)","20150612","운영중","","","","","148.20","136871","","","2015","Y","148.2","일반음식점","키즈카페","","","203140.27765400000  ","456876.53408600000  ","3070000-101-2015-00162","영업","2018-04-25"
"쁘띠몽드 서울봉천점","서울특별시 관악구 봉천동 1706번지 ","서울특별시 관악구 관악로30길 12 5층 502 504호 (봉천동)","20170711","운영중","","","","","233.73","151050","","","2017","Y","233.73","일반음식점","키즈카페","","02-877-1136","196522.79452100000  ","442960.82815300000  ","3200000-101-2017-00277","영업","2018-04-25"
