Performance,Finishing,Passing,Defending,Tackling,Dribbling,Shooting,Stamina,Speed,Balance,Vision,Diving,Handling
74,69,74,67,68,71,86,80,72,62,76,14,14
59,30,55,58,49,50,54,64,33,44,44,11,11
76,12,38,10,9,13,29,50,57,42,33,78,78
82,40,74,82,78,68,76,42,70,48,72,6,6
68,34,62,71,65,46,59,75,62,60,58,5,5
61,13,46,58,59,37,54,61,54,45,34,5,5
66,47,64,66,68,42,56,82,61,62,62,15,15
67,41,39,66,71,35,74,59,64,68,40,7,7
65,47,63,66,51,57,65,70,62,73,66,9,9
77,49,77,70,78,75,83,78,78,56,65,13,13
68,68,67,29,21,70,72,65,68,75,65,15,15
82,40,82,78,84,76,74,90,84,74,74,15,15
65,10,11,12,11,12,12,32,36,49,36,67,67
64,28,63,62,64,48,60,73,62,52,53,10,10
72,77,72,38,43,58,75,74,68,32,73,11,11
69,59,65,51,50,75,64,80,87,76,57,5,5
66,44,64,63,65,48,67,74,51,52,65,14,14
65,32,68,63,65,58,66,74,68,84,57,11,11
81,86,76,40,19,74,89,82,76,70,76,12,12
71,73,70,45,24,72,71,69,75,68,66,5,5
63,53,65,64,66,62,75,60,45,67,57,6,6
71,49,52,70,62,26,43,67,55,57,51,5,5
68,18,67,71,69,62,72,61,70,71,59,15,15
73,12,30,11,9,11,11,55,57,54,36,77,77
72,42,68,74,81,39,38,75,55,59,57,11,11
71,13,63,72,63,45,48,65,54,49,55,8,8
68,57,75,55,60,56,82,66,54,54,72,8,8
76,69,76,43,38,81,68,68,76,74,72,8,8
72,13,29,13,13,11,12,46,39,60,36,78,78
73,56,83,33,43,71,49,71,62,61,84,8,8
64,13,21,7,12,19,44,44,52,54,33,63,63
74,68,77,59,57,73,84,58,68,77,76,13,13
73,50,67,67,74,63,68,88,78,85,58,6,6
77,58,69,75,77,29,52,65,54,52,64,8,8
69,53,60,63,73,59,85,81,75,71,58,15,15
69,45,69,56,67,52,64,53,31,54,59,15,15
71,55,60,17,18,75,77,79,90,95,73,11,11
71,77,69,17,23,69,72,59,73,66,70,5,5
71,71,62,28,33,73,62,91,77,75,68,11,11
64,58,49,19,16,47,82,60,46,55,54,12,12
77,73,79,41,39,81,81,69,66,70,77,14,14
69,54,73,34,37,77,56,52,66,61,68,12,12
71,28,69,70,49,48,58,47,28,33,62,15,15
63,71,60,34,23,58,71,35,32,43,53,7,7
64,10,10,12,12,12,35,30,50,54,34,65,65
66,55,64,16,20,74,52,46,66,82,64,14,14
62,9,19,11,11,6,19,39,46,42,31,55,55
77,72,76,42,37,80,77,65,72,69,77,7,7
71,72,68,15,15,68,81,52,68,59,67,9,9
75,11,31,13,14,13,21,30,60,61,27,80,80
63,60,57,31,34,57,80,59,65,62,49,13,13
73,23,68,75,68,39,59,51,52,52,61,13,13
68,45,72,52,67,47,75,33,34,47,70,13,13
69,39,64,71,67,42,47,61,55,60,57,12,12
73,35,61,72,76,44,49,69,65,73,52,14,14
75,75,75,40,48,72,77,63,69,72,75,12,12
66,57,65,51,50,55,78,81,58,56,59,9,9
74,65,81,38,20,72,87,59,68,73,73,13,13
71,66,73,25,25,72,72,72,74,72,72,15,15
64,64,58,56,46,58,67,61,62,44,51,8,8
61,30,54,64,62,49,42,58,53,58,55,8,8
72,12,11,12,11,11,22,52,58,58,36,77,77
68,36,59,70,62,49,57,52,54,52,47,10,10
61,59,51,12,18,62,57,68,74,75,54,9,9
76,52,81,67,73,60,82,51,39,60,83,9,9
71,65,71,13,20,80,63,34,66,75,74,11,11
75,46,64,76,71,48,63,57,53,58,54,11,11
74,53,74,70,75,66,75,76,78,70,56,8,8
67,46,43,64,62,47,41,62,63,53,58,11,11
68,64,65,32,46,67,74,69,68,72,73,11,11
61,54,55,50,54,61,48,64,72,73,54,12,12
66,49,58,58,66,64,72,82,80,69,61,14,14
70,57,74,55,49,69,82,64,53,57,76,14,14
64,55,59,28,17,62,47,58,74,87,70,10,10
81,70,76,22,21,84,74,54,77,76,80,14,14
64,58,71,42,47,56,62,60,66,68,71,14,14
71,34,67,68,71,60,57,64,66,59,64,13,13
75,38,61,74,78,43,72,54,44,33,40,6,6
72,50,83,46,57,66,76,33,31,61,81,12,12
76,8,36,8,13,11,13,52,38,43,18,82,82
66,67,66,9,23,74,72,59,77,79,61,5,5
73,29,61,72,76,33,70,67,53,60,59,6,6
75,52,72,75,75,67,70,84,78,76,66,8,8
61,33,62,62,66,42,57,72,34,59,56,10,10
56,11,34,42,45,12,19,34,31,46,44,10,10
61,50,62,62,55,41,76,68,48,71,47,15,15
64,25,65,61,64,55,56,73,64,64,52,7,7
75,12,31,11,14,13,36,32,32,44,33,78,78
69,67,71,41,35,75,65,62,72,88,69,9,9
66,52,54,36,37,72,59,78,87,64,62,11,11
78,10,36,12,11,14,29,52,45,57,31,84,84
77,49,79,75,77,65,68,82,77,73,68,6,6
61,21,61,59,57,63,61,70,66,70,59,7,7
64,67,57,27,28,66,59,53,68,65,57,11,11
78,65,83,70,54,74,81,74,73,69,84,5,5
68,46,68,35,18,66,73,65,62,76,72,7,7
83,27,84,68,76,67,81,90,53,64,80,12,12
56,12,31,7,12,13,31,47,32,43,37,68,68
69,38,67,68,69,62,59,77,74,68,63,11,11
62,32,59,62,61,58,35,74,67,58,45,6,6
77,52,66,68,77,69,82,85,79,36,63,13,13
58,42,56,58,62,35,50,58,54,69,35,9,9
73,55,73,69,73,64,72,80,67,70,71,15,15
56,38,45,52,60,53,33,73,62,60,45,7,7
67,68,54,48,17,68,74,76,84,73,66,15,15
75,69,83,68,68,72,74,76,69,72,79,5,5
65,8,28,11,15,11,12,50,46,38,19,61,61
66,49,74,50,63,63,65,83,66,73,78,12,12
68,65,70,40,27,63,61,71,67,81,70,10,10
68,76,52,23,23,59,72,53,53,54,57,13,13
64,54,66,58,47,61,77,72,53,64,62,7,7
64,41,53,55,67,47,46,80,72,74,47,14,14
72,50,79,56,57,58,85,59,34,53,74,14,14
77,49,68,80,76,55,88,75,53,57,59,9,9
70,64,67,54,55,71,80,78,77,72,65,15,15
69,39,65,70,64,39,60,65,50,37,64,6,6
71,43,69,68,63,45,76,79,55,56,68,15,15
75,30,69,75,77,58,55,64,65,70,59,15,15
72,60,68,38,29,71,80,53,67,65,69,11,11
73,44,67,68,73,59,81,69,68,79,60,11,11
76,78,84,72,63,79,81,32,67,69,86,13,13
64,19,11,19,12,11,33,51,57,52,31,60,60
67,57,71,55,56,65,72,72,54,62,66,9,9
65,18,31,16,19,19,42,58,57,56,34,62,62
69,53,71,59,59,60,81,67,67,60,74,13,13
61,47,62,77,61,40,57,54,66,57,58,8,8
77,66,73,78,81,72,75,91,77,65,69,11,11
69,35,67,68,74,61,67,79,70,81,60,8,8
61,19,58,61,61,48,50,58,70,71,57,11,11
65,26,55,66,63,36,55,72,53,50,47,6,6
59,54,58,12,11,63,63,60,74,77,73,9,9
65,63,62,31,24,73,68,55,68,73,67,10,10
78,80,72,32,39,74,83,71,77,61,66,11,11
80,48,78,76,82,80,72,88,82,74,72,7,7
68,13,33,16,11,8,36,40,51,40,20,69,69
64,40,40,64,60,39,51,52,66,56,50,9,9
73,50,73,69,75,68,71,77,74,75,72,13,13
71,12,20,14,18,10,25,52,52,31,29,74,74
62,53,49,41,47,56,74,79,67,70,54,5,5
85,90,83,22,38,84,88,64,80,75,83,8,8
60,12,22,12,9,11,10,50,48,47,31,59,59
65,49,60,36,45,65,74,71,72,78,61,5,5
74,77,62,36,36,67,81,76,74,79,64,9,9
62,59,54,23,14,59,87,64,65,73,60,15,15
60,43,61,54,49,44,65,64,54,65,56,10,10
64,62,63,10,11,68,72,55,69,62,62,12,12
69,48,71,67,59,56,82,57,54,58,68,13,13
63,41,58,67,66,51,63,59,64,67,35,11,11
79,82,80,14,20,78,81,67,68,79,81,6,6
73,15,36,12,12,13,52,53,43,43,32,76,76
69,12,12,10,12,10,12,46,52,57,31,70,70
68,48,72,37,52,73,63,70,79,61,63,10,10
63,68,50,12,20,47,68,51,55,52,54,9,9
68,43,64,59,71,50,59,68,63,67,52,8,8
79,11,28,12,11,10,29,47,54,52,34,74,74
60,37,61,56,54,58,49,79,78,91,63,13,13
79,8,32,10,14,13,36,51,51,47,28,82,82
72,11,37,11,16,14,35,47,50,49,21,73,73
71,43,56,73,68,39,42,53,33,48,49,10,10
69,11,22,14,9,10,29,39,46,27,26,64,64
76,77,66,10,13,76,73,69,81,79,69,13,13
63,11,8,9,7,12,11,45,56,45,38,74,74
61,39,58,21,18,60,80,32,74,82,56,12,12
72,60,73,31,34,81,71,70,81,97,71,7,7
73,74,63,32,28,77,78,54,69,59,71,15,15
62,20,54,64,54,41,50,76,66,43,59,11,11
76,38,72,76,74,64,74,75,90,62,51,15,15
68,31,60,70,69,32,60,34,33,63,44,13,13
65,14,14,14,11,15,22,43,44,43,29,67,67
71,11,26,9,11,14,27,47,34,48,34,72,72
71,12,16,14,12,13,17,44,57,48,36,69,69
66,54,65,56,66,53,75,76,64,54,54,7,7
71,54,76,73,64,68,74,66,68,74,80,5,5
66,62,71,69,64,65,66,67,66,69,68,9,9
83,13,24,13,14,14,27,31,42,35,34,80,80
74,32,62,76,74,33,75,66,39,44,42,11,11
69,54,73,67,65,52,85,71,52,71,72,5,5
70,45,65,70,69,38,52,34,63,58,37,10,10
68,7,37,7,10,8,27,32,47,25,38,66,66
63,10,29,11,9,9,27,68,21,57,39,65,65
73,64,75,42,49,74,65,66,68,73,76,13,13
74,75,76,53,58,73,79,64,54,81,77,12,12
60,7,33,6,18,14,41,34,50,60,32,58,58
75,19,37,14,14,12,18,29,49,61,34,75,75
65,39,64,62,63,42,52,68,54,66,45,9,9
62,39,55,64,52,38,55,32,31,74,56,10,10
70,42,70,69,62,58,61,80,62,83,71,7,7
64,8,25,14,14,9,21,30,47,22,32,69,69
78,9,32,9,15,8,31,32,44,41,33,79,79
65,36,56,61,58,45,51,51,33,50,56,12,12
63,65,67,12,18,70,70,68,63,71,59,12,12
63,25,51,62,61,43,55,63,47,56,29,14,14
68,68,56,25,35,64,80,56,51,34,47,14,14
49,7,21,8,8,8,22,20,21,30,21,55,55
60,37,60,57,65,43,62,45,53,70,53,13,13
65,70,57,38,12,61,73,31,33,65,61,8,8
72,62,72,71,74,61,72,64,67,75,56,8,8
63,46,68,51,57,51,69,60,26,29,60,11,11
63,41,49,67,58,40,71,34,30,39,51,8,8
72,72,67,32,40,74,72,70,79,74,70,9,9
72,66,75,22,45,75,64,63,65,44,80,12,12
67,70,64,17,44,62,70,74,68,58,66,6,6
62,39,61,56,53,58,51,58,63,67,59,13,13
63,64,65,19,27,59,65,66,63,74,67,7,7
64,62,60,24,22,60,65,69,59,58,70,12,12
71,13,28,14,13,10,27,31,44,43,22,72,72
60,41,48,48,50,44,62,70,52,47,51,5,5
67,10,28,13,13,13,13,30,23,19,32,59,59
81,55,71,82,84,52,85,67,68,66,56,6,6
72,40,69,70,71,68,71,78,79,68,61,13,13
68,72,62,31,26,68,74,81,78,83,67,5,5
59,26,51,62,65,42,37,72,61,69,48,10,10
60,14,33,54,55,16,32,67,58,63,30,13,13
61,24,49,65,59,57,61,62,62,63,64,12,12
65,69,63,25,18,61,64,69,75,68,61,6,6
65,70,72,60,59,66,60,72,71,74,53,10,10
66,58,74,54,59,66,64,53,52,76,77,7,7
69,60,76,53,64,61,61,84,65,64,68,7,7
63,58,66,64,60,54,78,75,64,45,56,7,7
60,31,55,62,63,33,52,63,65,71,49,6,6
66,45,64,57,57,66,64,68,53,78,64,13,13
71,52,71,70,68,68,85,74,79,53,65,6,6
73,32,73,75,80,61,42,55,55,64,63,13,13
78,58,85,62,70,74,78,66,55,64,82,7,7
73,74,68,29,30,60,88,32,67,86,68,7,7
85,90,83,22,30,86,84,66,84,86,82,14,14
70,6,23,6,9,14,27,54,47,66,33,70,70
68,57,72,68,69,58,69,73,54,63,65,8,8
75,51,79,72,63,67,61,90,72,83,81,15,15
70,8,23,8,10,9,21,35,44,48,24,68,68
72,13,31,10,11,61,35,48,61,67,33,76,76
80,21,57,81,82,16,61,69,62,57,42,7,7
62,66,51,29,25,65,72,70,91,70,50,14,14
68,38,68,67,66,40,65,74,54,64,68,6,6
68,41,69,38,50,59,73,70,69,67,65,7,7
61,32,30,64,60,42,48,71,65,66,53,12,12
60,17,25,12,10,17,24,56,48,61,35,65,65
56,12,35,12,11,9,13,46,35,45,34,53,53
85,46,68,85,93,58,63,75,77,58,60,8,8
79,64,82,73,79,64,68,83,62,61,76,15,15
69,13,17,14,13,18,26,46,36,34,31,68,68
74,75,76,42,46,70,83,74,63,56,75,15,15
75,47,74,77,78,62,60,74,64,58,62,14,14
77,69,67,38,47,67,81,79,78,73,67,12,12
70,66,70,48,58,66,74,80,79,69,74,7,7
72,77,71,32,37,61,83,73,54,39,71,13,13
79,38,73,80,83,59,88,82,63,63,66,5,5
64,62,52,21,45,63,67,61,69,39,36,10,10
59,53,60,35,40,60,55,73,69,58,59,7,7
81,13,38,11,12,12,44,50,55,49,34,84,84
77,11,29,11,11,9,33,34,61,45,31,81,81
87,43,85,83,94,80,57,88,81,92,78,11,11
73,35,70,70,74,64,58,79,84,59,57,15,15
86,75,89,69,78,82,88,80,62,75,86,14,14
75,69,74,34,42,80,84,75,76,85,78,15,15
61,34,56,53,64,62,68,78,70,69,49,15,15
67,11,14,12,13,14,21,47,32,44,35,73,73
67,71,56,20,19,71,68,55,70,72,49,12,12
68,46,71,59,68,67,66,78,77,67,63,6,6
65,68,58,14,10,48,79,62,45,49,57,13,13
66,11,36,9,13,18,28,28,55,43,35,68,68
66,26,54,67,64,39,58,46,23,41,41,8,8
53,42,53,51,53,56,52,69,59,71,43,9,9
61,28,50,55,59,38,47,61,50,52,36,14,14
62,42,71,45,44,60,49,78,52,58,68,12,12
73,45,80,63,77,72,78,63,59,72,78,8,8
69,63,69,64,67,66,63,86,70,81,67,8,8
59,13,15,11,15,12,45,51,35,30,31,52,52
71,38,71,67,67,63,76,83,83,57,57,14,14
64,57,63,50,48,64,59,75,64,65,68,15,15
59,6,9,7,7,11,18,51,34,38,32,58,58
67,13,35,12,13,11,39,54,58,31,23,71,71
66,48,69,64,67,60,77,79,67,68,57,15,15
66,12,24,11,13,13,35,53,41,38,32,69,69
68,67,70,26,42,71,70,65,73,74,66,11,11
72,72,68,34,34,74,72,74,83,81,66,12,12
67,12,32,13,19,11,35,43,58,59,31,66,66
78,77,64,21,25,80,84,74,88,61,65,9,9
66,35,61,62,61,63,61,76,55,62,63,7,7
73,81,56,31,36,64,70,80,72,74,60,9,9
59,16,49,55,58,39,47,65,52,60,26,12,12
60,49,52,67,66,61,47,71,70,54,49,8,8
76,61,73,31,34,81,66,76,86,79,64,9,9
76,80,70,20,28,70,80,55,68,60,66,6,6
75,16,38,11,11,11,58,56,47,56,36,78,78
77,20,58,82,78,42,59,50,59,57,48,12,12
81,42,67,85,80,62,74,68,72,66,49,10,10
74,62,72,62,74,71,74,86,85,62,73,5,5
74,35,65,77,75,45,64,69,55,57,48,5,5
65,35,60,63,65,56,50,75,80,77,59,5,5
79,66,81,68,81,75,88,78,69,71,74,11,11
75,60,76,36,46,86,76,34,74,78,76,8,8
78,82,69,39,47,77,79,81,81,52,67,13,13
79,82,86,56,52,71,84,82,71,76,86,8,8
77,51,76,73,76,57,85,79,61,57,77,14,14
68,67,74,59,52,67,73,70,67,76,72,5,5
74,42,68,74,75,74,84,91,88,88,55,5,5
75,68,86,51,33,88,69,40,70,75,89,12,12
73,24,65,81,74,59,65,69,55,71,48,10,10
74,12,22,14,14,11,23,50,34,66,33,75,75
71,47,69,71,68,69,63,84,78,75,50,6,6
72,76,69,17,21,64,74,82,71,64,67,8,8
62,66,56,15,12,66,70,70,65,72,61,12,12
77,75,82,17,15,82,72,66,82,77,79,6,6
64,56,61,26,22,70,80,50,53,75,68,9,9
72,61,72,24,28,78,68,63,77,85,70,12,12
68,59,70,62,66,58,74,74,45,48,62,12,12
70,11,28,13,14,12,22,52,60,41,12,75,75
64,14,33,13,13,12,35,21,24,33,19,59,59
65,42,60,69,68,56,64,63,73,52,55,15,15
67,28,51,66,65,38,42,78,65,64,49,7,7
73,55,74,64,70,68,80,70,54,67,70,5,5
65,11,23,13,16,11,34,51,60,53,35,69,69
70,63,74,64,74,63,68,76,60,72,67,13,13
67,12,37,14,14,11,11,28,31,64,38,67,67
72,64,75,46,66,72,82,85,72,60,72,7,7
67,70,52,12,16,50,66,77,75,71,48,9,9
63,41,41,62,51,40,58,52,27,44,48,7,7
68,12,32,13,8,14,25,48,52,60,34,70,70
63,45,53,67,68,35,50,82,73,68,52,14,14
73,25,67,71,75,43,55,73,59,57,60,9,9
66,63,62,38,34,72,56,64,73,67,62,8,8
74,64,87,67,54,68,86,27,54,63,78,5,5
64,68,48,18,15,58,70,68,80,62,47,8,8
71,13,37,8,13,19,21,58,51,45,32,70,70
57,34,52,58,44,54,57,72,68,60,58,8,8
71,55,77,67,67,73,71,90,77,61,70,7,7
71,42,57,70,68,38,38,72,55,44,46,6,6
73,69,75,56,41,72,64,71,68,75,77,11,11
73,31,73,74,73,43,62,53,54,56,72,8,8
77,77,76,42,39,76,79,86,88,63,77,11,11
76,53,76,72,77,75,84,84,85,79,64,10,10
63,22,50,65,64,32,50,73,67,58,37,14,14
72,75,64,32,57,55,82,90,69,65,62,9,9
64,62,55,27,14,65,61,77,80,71,61,13,13
68,46,67,71,68,63,56,68,66,71,54,15,15
67,59,70,27,28,71,74,60,66,78,66,8,8
59,60,45,22,23,54,62,52,56,60,56,12,12
72,64,73,68,63,71,72,84,84,72,77,6,6
71,69,68,30,44,73,70,68,55,79,73,13,13
67,69,66,12,19,64,75,66,54,66,57,7,7
64,8,35,8,17,15,35,55,57,20,23,62,62
77,74,76,43,37,73,79,72,68,61,75,10,10
75,70,84,74,76,67,83,86,68,75,74,10,10
71,57,68,71,76,69,76,78,65,78,68,6,6
60,11,36,11,8,13,36,56,53,57,32,60,60
76,32,77,70,78,60,84,79,58,50,72,10,10
73,76,66,29,25,71,80,65,68,71,75,6,6
72,41,66,68,74,62,81,69,76,73,56,6,6
64,67,68,58,58,59,56,67,65,69,67,12,12
79,43,73,80,69,45,47,54,32,55,75,6,6
65,26,70,58,60,46,54,71,76,68,50,11,11
74,19,26,18,15,17,35,50,50,40,33,74,74
73,61,72,68,71,63,77,86,68,73,71,5,5
78,15,18,13,13,16,27,56,62,56,32,83,83
60,48,62,19,16,62,59,61,62,58,59,5,5
63,26,65,48,62,63,38,63,65,74,65,15,15
74,66,75,64,68,67,81,73,54,56,73,11,11
73,18,23,12,12,11,44,49,41,61,31,75,75
69,51,69,74,65,63,70,58,58,61,65,13,13
73,59,75,74,70,69,79,61,69,65,65,10,10
69,57,67,65,67,67,78,82,75,70,55,10,10
73,66,75,74,71,78,90,61,65,59,75,13,13
70,68,73,70,67,73,74,67,68,68,74,13,13
75,36,70,74,75,42,70,53,54,63,52,14,14
65,61,68,50,51,66,78,71,71,73,69,13,13
61,58,63,27,35,62,59,67,74,68,50,9,9
75,54,63,74,69,41,55,71,54,53,50,5,5
64,71,56,23,12,51,71,51,52,60,67,11,11
76,68,76,22,13,82,71,46,74,75,78,9,9
73,63,72,71,78,68,72,86,87,93,65,6,6
70,54,45,67,71,43,83,64,60,60,56,9,9
61,50,54,66,55,66,73,72,66,80,58,13,13
77,76,78,50,48,77,77,71,68,64,80,15,15
80,14,14,13,11,13,20,43,31,45,32,76,76
67,22,49,72,58,44,69,69,64,58,66,5,5
81,14,21,14,13,12,25,32,59,46,31,82,82
65,63,65,46,52,67,65,66,69,73,65,14,14
75,67,83,35,32,70,78,57,55,74,81,11,11
68,50,68,76,68,61,63,34,70,72,67,13,13
59,29,46,67,43,30,53,34,54,49,56,10,10
70,47,70,67,71,76,80,68,83,75,60,5,5
73,37,57,77,75,34,64,66,54,55,54,8,8
68,71,66,28,20,72,76,73,64,67,68,13,13
77,14,22,13,14,14,37,54,52,53,34,82,82
62,52,74,59,57,62,60,73,70,80,52,8,8
84,60,82,78,84,80,85,86,87,78,78,10,10
72,67,73,72,66,72,75,78,64,56,68,7,7
76,43,64,78,76,51,69,58,54,59,65,9,9
82,15,35,11,16,13,30,59,47,67,31,82,82
75,74,76,70,63,75,79,69,68,66,76,11,11
74,77,70,12,27,76,81,65,65,67,71,9,9
81,66,83,74,79,75,82,83,72,73,75,11,11
73,41,74,72,67,18,68,55,46,61,51,8,8
67,56,68,71,70,71,72,74,64,76,57,14,14
76,78,80,46,52,82,77,66,77,77,68,15,15
73,59,76,69,65,71,71,80,63,85,71,14,14
73,80,69,24,30,65,81,57,62,72,75,13,13
67,42,56,71,66,44,67,72,62,66,47,12,12
73,50,55,71,84,51,86,65,53,54,56,11,11
73,67,79,50,24,75,74,40,47,61,80,9,9
73,67,67,27,20,76,69,73,84,82,68,6,6
65,11,22,15,11,16,27,56,43,30,33,68,68
74,16,25,13,12,11,23,52,59,57,31,77,77
71,18,65,72,70,44,61,63,51,42,45,10,10
74,53,78,70,71,66,76,59,55,78,67,15,15
68,26,62,67,68,62,57,79,79,72,59,14,14
76,81,73,18,27,82,70,57,76,73,69,11,11
72,51,79,46,42,73,58,64,65,83,80,13,13
76,21,69,75,79,45,66,65,67,58,51,15,15
69,71,58,33,39,67,72,58,63,56,59,12,12
69,42,67,72,65,44,60,64,69,68,65,14,14
65,38,63,60,59,51,56,78,73,72,55,9,9
71,37,55,75,68,46,57,64,34,42,52,11,11
77,54,78,57,69,73,69,85,67,70,74,10,10
73,72,68,29,38,78,78,63,77,76,66,12,12
78,51,78,74,79,62,70,75,77,65,51,12,12
63,52,73,45,35,57,54,42,54,79,67,14,14
76,65,83,61,53,66,84,54,35,69,86,15,15
65,67,58,27,26,53,74,67,45,67,59,8,8
62,24,59,66,57,54,55,65,63,40,49,11,11
70,41,66,64,63,49,75,87,75,56,64,5,5
71,11,35,9,14,16,44,31,45,44,35,77,77
73,54,73,70,72,66,73,76,65,61,67,15,15
69,40,53,73,66,30,62,67,45,34,59,11,11
68,30,64,70,62,35,62,88,63,54,42,6,6
69,18,51,66,65,47,51,73,66,47,46,13,13
59,16,53,56,60,54,24,73,66,58,53,15,15
70,72,65,19,26,69,78,70,74,67,62,11,11
80,51,64,80,80,56,91,71,54,42,46,10,10
71,36,54,75,67,35,75,53,53,55,42,9,9
77,71,79,56,47,75,81,62,66,74,80,8,8
83,73,87,35,39,88,68,57,74,84,86,6,6
83,70,82,17,31,92,75,78,86,92,83,8,8
72,48,74,78,71,60,78,78,67,67,70,10,10
73,72,77,51,46,78,75,71,78,81,75,13,13
71,66,74,69,68,79,75,73,84,73,74,10,10
76,75,77,46,47,67,89,29,55,60,69,7,7
82,87,72,21,21,79,82,61,63,62,69,9,9
66,70,71,35,40,68,66,68,62,72,49,15,15
60,55,61,56,55,59,61,88,72,70,47,15,15
65,53,65,65,66,42,61,72,78,77,55,6,6
64,62,55,37,32,59,66,43,56,49,56,8,8
64,63,55,68,65,49,82,73,54,61,62,8,8
65,65,64,15,25,64,66,60,58,55,51,13,13
64,52,60,66,65,61,59,75,77,81,62,13,13
65,52,63,58,61,64,64,93,69,67,54,6,6
59,11,31,11,13,13,35,51,63,32,37,61,61
67,62,65,39,26,67,59,64,80,81,61,10,10
62,53,56,66,63,61,66,76,71,72,58,11,11
64,42,61,64,63,47,39,79,69,64,68,13,13
67,43,55,72,63,23,56,78,62,59,68,15,15
61,62,51,29,27,58,68,78,55,53,59,15,15
60,54,60,63,61,59,62,66,80,55,70,15,15
76,81,72,11,15,68,81,73,63,58,79,10,10
65,65,71,24,18,64,62,60,66,81,62,14,14
74,61,56,74,71,61,66,79,67,63,57,14,14
68,11,23,11,14,12,22,52,52,61,36,67,67
70,10,35,10,13,10,22,56,38,58,33,69,69
65,46,66,63,61,43,50,78,52,60,61,11,11
63,64,63,18,23,65,70,67,62,77,62,8,8
73,14,38,10,16,10,19,46,47,67,35,75,75
61,12,38,12,18,13,23,31,51,45,33,59,59
64,41,67,69,63,43,55,64,57,61,63,8,8
76,17,66,76,77,48,69,67,69,54,45,8,8
65,47,66,60,64,57,70,80,33,54,59,9,9
72,66,78,66,64,69,72,65,58,71,79,15,15
70,33,68,70,68,55,63,73,66,64,63,7,7
73,8,26,19,13,18,35,30,50,30,32,68,68
76,56,78,73,75,70,88,78,68,76,74,12,12
64,33,64,66,65,43,57,62,68,71,52,15,15
76,73,74,47,51,80,79,70,76,79,73,13,13
75,76,78,35,33,79,79,69,68,64,74,13,13
57,57,51,20,18,50,64,59,68,64,46,7,7
77,66,80,71,71,73,77,77,63,72,82,15,15
76,36,54,76,72,41,80,68,66,42,53,15,15
74,41,62,82,78,46,64,30,54,70,56,12,12
64,43,65,56,58,60,70,87,77,58,60,7,7
60,29,45,66,54,31,50,28,34,61,40,12,12
62,31,55,60,61,55,58,67,66,49,58,9,9
71,41,67,67,75,66,74,73,69,63,58,8,8
67,46,75,55,68,60,68,67,55,69,68,15,15
77,7,21,12,12,11,46,56,58,56,33,76,76
64,37,59,71,52,59,57,87,53,72,58,7,7
62,16,17,15,12,13,29,54,54,52,31,72,72
76,64,82,75,71,73,73,78,55,44,76,5,5
76,28,65,81,79,53,65,60,50,61,59,11,11
84,30,72,88,86,46,68,68,68,58,64,10,10
74,65,75,32,38,82,75,69,73,89,73,7,7
64,64,55,12,21,60,66,54,60,61,62,5,5
66,18,28,11,19,11,34,50,34,30,31,64,64
63,38,50,62,60,40,59,33,55,58,50,9,9
64,23,72,51,63,44,75,55,59,79,62,5,5
74,20,64,84,77,35,40,34,34,72,51,10,10
71,30,61,72,67,31,59,52,54,46,50,9,9
68,14,62,71,69,38,58,74,64,58,51,13,13
79,82,71,24,21,71,81,83,76,42,75,6,6
68,48,69,68,71,58,79,82,72,74,51,7,7
67,63,66,52,48,67,70,71,67,77,66,12,12
68,59,67,51,42,63,61,89,73,70,67,12,12
67,61,69,60,62,65,73,71,63,48,68,7,7
60,56,61,39,31,60,67,49,51,68,58,6,6
65,62,67,29,38,65,65,61,65,59,74,9,9
68,13,21,13,16,14,22,32,49,56,31,70,70
65,49,50,63,61,34,46,31,33,60,45,13,13
67,22,72,65,65,60,46,73,54,72,48,7,7
73,51,79,68,69,69,69,78,69,75,77,6,6
58,14,35,11,18,10,35,44,44,44,33,67,67
66,67,64,64,66,65,69,65,71,48,71,10,10
82,87,74,26,28,74,75,73,71,65,76,5,5
65,52,61,36,42,66,61,69,72,71,62,8,8
74,49,73,68,76,67,75,77,69,62,72,7,7
73,40,76,65,73,68,74,77,66,75,71,12,12
79,45,78,76,80,76,76,79,79,59,66,15,15
69,70,62,18,22,72,70,70,91,52,58,5,5
66,53,67,37,32,67,66,73,72,70,59,12,12
60,57,64,40,43,60,60,66,70,70,59,12,12
74,45,60,75,75,49,57,66,61,57,40,6,6
61,60,55,12,25,60,65,54,55,61,60,9,9
77,40,74,73,77,75,73,88,82,62,64,11,11
71,35,52,76,74,40,66,78,56,76,46,8,8
77,55,78,68,77,65,76,85,63,71,74,9,9
71,26,70,73,65,42,51,69,59,48,63,11,11
75,65,73,54,46,76,77,70,77,87,75,13,13
68,60,71,33,26,70,73,74,66,66,69,13,13
67,33,62,71,70,54,67,90,55,60,57,9,9
65,43,44,62,62,42,55,53,53,55,45,12,12
75,75,69,19,20,70,78,68,89,79,70,9,9
61,38,64,56,57,54,66,77,67,73,59,13,13
81,78,77,24,40,86,80,74,73,62,80,10,10
64,67,63,22,20,58,70,54,34,41,53,6,6
69,33,66,69,69,43,62,70,54,54,56,5,5
62,21,63,65,63,52,49,69,66,76,51,5,5
76,45,79,71,79,73,71,78,68,70,74,6,6
68,62,72,40,31,66,74,74,63,62,72,15,15
78,82,69,19,29,81,80,70,83,59,74,7,7
