고객ID,이탈여부,총 매출액,방문빈도,1회 평균매출액,할인권 사용 횟수,총 할인 금액,고객등급,구매유형,클레임접수여부,구매 카테고리 수,거주지역,성별,고객 나이대,거래기간,할인민감여부,멤버쉽 프로그램 가입전 만족도,멤버쉽 프로그램 가입후 만족도,Recency,Frequency,Monetary,상품 만족도,매장 만족도,서비스 만족도,상품 품질,상품 다양성,가격 적절성,상품 진열 위치,상품 설명 표시,매장 청결성,공간 편의성,시야 확보성,음향 적절성,안내 표지판 설명,친절성,신속성,책임성,정확성,전문성,D1,D2,D3
152,0,16638580,54,308122,14,334350,1,2,1,6,6,1,9,1073,0,4,4,7,5,7,5,5,6,6,5,5,6,7,6,7,7,6,6,6,6,5,6,6,1,0,0
153,0,4777620,24,199068,18,340950,1,4,1,5,5,1,6,1047,0,3,5,7,4,4,5,4,5,4,4,4,5,5,4,4,5,5,5,5,5,5,4,5,0,0,1
154,0,6889560,37,186204,4,79100,1,4,0,6,6,0,9,1091,0,5,5,7,5,5,4,5,7,7,7,6,7,6,5,6,6,7,6,5,4,6,6,5,0,0,1
155,0,4854270,20,242714,10,304895,1,4,0,7,7,1,6,1072,0,6,6,7,4,4,7,6,6,5,5,6,6,5,5,6,6,6,6,6,5,6,6,6,0,0,1
156,0,3605040,33,109244,4,57950,1,2,0,6,6,0,4,1073,0,4,6,7,5,3,6,6,7,6,6,7,7,7,6,6,6,6,7,5,6,6,6,6,1,0,0
157,0,3074050,18,170781,1,7150,1,4,0,5,5,1,4,1048,0,5,5,7,3,3,4,5,6,6,7,6,6,5,6,6,7,5,6,5,6,6,6,6,0,0,1
158,0,3417520,15,227835,20,347395,2,4,0,4,4,1,6,982,0,5,5,7,3,3,4,5,6,7,7,6,7,6,5,6,6,7,6,5,4,6,6,5,0,0,1
159,0,2313800,17,136106,10,323535,1,4,1,5,5,0,3,920,0,4,6,6,3,1,5,4,6,6,4,5,4,7,4,6,5,7,6,6,5,6,5,6,0,0,1
160,0,4232940,29,145963,3,42750,1,4,1,7,7,1,2,1039,0,4,4,7,4,4,5,5,6,6,5,5,6,7,6,7,7,6,6,6,6,5,6,6,0,0,1
161,0,2339650,29,80678,25,358745,1,2,1,5,5,1,4,1062,0,6,7,7,4,1,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,1,0,0
162,0,2474920,7,353560,21,348945,1,4,0,5,5,1,9,938,0,3,4,7,2,1,5,4,4,6,5,5,6,6,7,7,6,7,6,6,6,7,7,6,0,0,1
163,0,4796170,57,84143,23,379400,1,2,1,5,5,1,5,1086,0,6,7,7,5,4,7,7,7,6,7,6,6,6,6,7,6,6,7,5,5,6,6,6,1,0,0
164,0,3985450,18,221414,10,304700,2,4,1,3,3,1,6,1047,0,2,4,7,3,3,7,6,7,6,5,5,6,6,5,5,6,6,6,6,6,5,5,5,0,0,1
165,0,2786160,17,163892,9,246350,1,4,1,5,5,1,3,971,0,7,7,6,3,2,7,7,7,4,5,4,5,5,5,6,5,5,5,5,5,5,4,5,0,0,1
166,0,8720920,29,300721,26,366345,1,2,0,5,5,1,3,1063,0,6,6,7,4,6,4,6,6,6,6,6,.,.,6,7,6,6,5,6,5,6,6,6,1,0,0
167,0,5803610,30,193454,25,357800,1,2,0,6,6,0,6,1082,0,5,6,7,5,5,6,5,5,7,6,7,7,7,6,7,6,5,6,6,2,6,6,4,1,0,0
168,0,3944010,27,146074,28,376845,1,4,1,7,7,1,8,1026,0,5,5,7,4,3,6,5,7,6,5,6,6,5,5,6,6,6,6,6,6,6,6,6,0,0,1
169,0,5063410,15,337561,5,131095,1,4,1,7,7,1,5,1085,0,3,6,7,3,4,3,4,5,5,5,4,4,5,5,5,6,5,5,4,5,4,4,4,0,0,1
170,0,3161030,6,526838,4,57950,1,3,0,5,5,1,6,1066,0,5,5,7,2,3,4,2,3,6,5,6,6,6,6,7,6,6,5,4,5,6,5,5,0,1,0
171,0,3521950,16,220122,28,375650,2,4,0,4,4,1,4,930,0,5,6,6,3,3,6,5,6,6,6,5,6,6,6,7,6,6,6,6,6,7,6,6,0,0,1
172,0,2949370,10,294937,8,260450,1,4,0,5,5,0,7,1048,0,2,3,7,3,2,2,5,4,6,5,5,5,5,5,4,5,5,4,4,5,5,5,5,0,0,1
173,0,4346950,23,188998,27,356450,2,4,1,4,4,1,1,1093,0,2,4,7,4,4,2,5,7,6,5,5,6,6,5,5,6,6,6,6,6,5,5,5,0,0,1
174,0,5395350,23,234580,9,246600,2,4,0,4,4,1,6,1073,0,5,5,7,4,4,4,5,5,7,6,6,6,6,6,5,5,6,6,6,7,6,6,6,0,0,1
175,1,6768990,10,676899,8,262145,1,3,0,5,5,1,7,428,0,2,3,1,3,5,3,4,3,6,5,5,6,6,6,5,5,6,6,5,5,6,5,5,0,1,0
176,0,2420680,11,220062,23,379450,1,4,1,5,5,1,4,807,0,5,7,7,3,1,3,5,5,5,4,5,4,5,5,6,5,6,5,4,4,5,4,4,0,0,1
177,1,10720400,4,2680100,7,210695,2,3,1,3,3,1,6,709,0,6,7,2,1,6,1,2,4,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,0,1,0
178,0,2874150,14,205296,24,358750,1,4,0,7,7,1,4,1077,0,3,4,7,3,2,5,5,4,6,6,7,6,6,6,7,6,5,6,5,7,6,6,6,0,0,1
179,0,7162420,18,397912,20,347200,1,4,0,6,6,1,5,1066,0,4,5,7,3,5,3,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,5,0,0,1
180,0,3318470,11,301679,17,365645,1,1,0,5,5,1,1,1073,0,5,4,7,3,3,6,5,7,6,5,5,6,6,6,7,6,7,7,6,6,7,7,6,0,0,0
181,1,5311700,15,354113,23,380095,1,4,1,5,5,1,7,683,0,5,6,2,3,4,4,5,5,7,6,5,4,5,7,7,6,7,6,4,5,7,5,4,0,0,1
182,0,5482550,31,176856,7,210695,2,4,1,4,4,1,2,1089,1,5,6,7,5,4,6,5,5,5,6,6,6,6,6,5,5,6,5,6,6,5,5,5,0,0,1
183,0,2433830,15,162255,19,364850,2,4,0,4,4,1,5,1038,0,6,6,7,3,1,4,6,7,6,7,6,7,.,6,6,6,6,6,7,7,6,6,7,0,0,1
184,0,3569550,21,169979,16,364900,1,4,1,5,5,1,3,1019,0,7,7,7,4,3,7,7,7,5,6,6,5,6,5,5,5,6,5,5,6,6,5,6,0,0,1
185,0,5397480,21,257023,11,296395,2,4,1,4,4,1,8,980,0,7,7,7,4,4,5,7,7,6,6,6,7,7,6,5,5,6,5,5,4,5,5,5,0,0,1
186,0,2418600,11,219873,21,348945,1,4,1,5,5,1,7,1073,0,6,7,7,3,1,6,6,7,5,5,6,7,6,5,5,6,7,7,5,6,6,5,5,0,0,1
187,0,6699400,14,478529,28,376400,2,4,0,2,2,1,6,925,0,5,6,7,3,5,4,5,7,5,6,6,6,5,6,5,6,5,6,6,6,6,6,6,0,0,1
188,0,24894040,90,276600,4,58700,1,2,0,7,7,1,5,1093,0,5,7,7,7,7,5,5,6,6,5,5,.,.,6,5,7,5,6,6,6,6,5,6,1,0,0
189,0,3554850,9,394983,23,379595,1,1,0,5,5,1,8,1008,1,2,7,7,2,3,2,5,1,4,5,6,6,5,6,5,6,7,6,6,6,5,5,5,0,0,0
190,0,2407150,9,267461,30,381445,1,1,0,5,5,1,4,966,0,2,3,6,2,1,2,4,4,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,0,0,0
191,0,2428500,5,485700,24,265635,2,4,0,4,4,0,2,883,0,2,3,6,1,1,3,3,3,5,4,5,6,5,5,5,6,4,5,6,5,6,5,5,0,0,1
192,0,3430500,15,228700,29,374050,1,4,0,7,7,1,2,1071,0,3,4,7,3,3,2,4,5,7,6,5,6,.,5,6,5,6,5,5,4,5,6,4,0,0,1
193,0,2300080,19,121057,25,357550,2,2,1,3,3,1,8,1052,0,6,6,7,3,1,5,6,6,7,6,5,4,5,7,7,6,7,6,4,5,7,5,4,1,0,0
194,0,3993250,11,363023,19,366250,2,4,0,4,4,1,7,1074,0,4,4,7,3,3,6,4,5,7,6,6,5,6,5,5,6,5,5,5,5,5,5,5,0,0,1
195,0,2313160,33,70096,7,230900,2,2,0,4,4,1,6,1057,0,2,7,7,5,1,2,4,5,7,7,7,7,7,6,7,7,6,5,3,5,7,6,7,1,0,0
196,0,4344280,9,482698,21,347945,1,4,0,7,7,1,5,979,0,7,5,7,2,4,5,5,6,6,5,6,6,5,7,6,6,6,6,6,5,6,5,5,0,0,1
197,0,2835430,20,141772,11,296895,2,4,0,4,4,1,4,1076,0,2,4,7,4,2,4,4,4,6,5,6,6,5,7,6,6,6,6,6,5,6,5,5,0,0,1
198,0,3127700,6,521283,14,334600,2,3,0,4,4,1,5,993,0,5,6,7,2,3,4,2,6,6,5,7,.,.,6,7,6,7,6,6,6,6,7,6,0,1,0
199,0,13858000,42,329952,25,357050,1,2,0,6,6,0,3,1089,0,7,7,7,5,7,5,7,7,5,7,6,6,7,6,7,6,6,7,5,7,6,6,6,1,0,0
200,0,6727700,34,197874,8,261395,1,2,1,5,5,1,6,1041,0,4,5,7,5,5,2,4,5,5,5,6,5,6,5,5,4,5,4,4,5,6,5,5,1,0,0
201,0,9074950,41,221340,15,326100,1,2,1,6,6,1,3,1078,0,2,6,7,5,6,4,6,4,5,4,5,5,5,4,5,6,4,6,5,4,5,5,4,1,0,0
202,0,7604550,17,447326,7,209750,2,4,0,3,3,1,2,1039,1,2,4,7,3,5,2,5,5,7,7,6,6,6,6,7,6,6,6,4,4,6,6,6,0,0,1
203,0,4241430,18,235635,23,380095,1,4,1,5,5,1,7,1015,0,3,7,7,3,4,2,5,5,7,7,6,5,5,6,7,6,7,6,7,6,6,5,6,0,0,1
204,0,24832930,78,318371,6,186545,1,2,0,7,7,1,4,1085,0,7,7,7,6,7,7,6,7,6,5,5,5,6,5,6,5,5,5,5,5,5,5,5,1,0,0
205,0,10513610,45,233636,14,334100,2,2,1,4,4,1,5,1090,0,2,4,7,5,6,5,5,7,6,6,7,6,6,6,6,5,6,6,6,6,6,5,6,1,0,0
206,0,2386550,9,265172,1,5945,2,4,0,4,4,0,6,1035,0,5,6,7,2,1,6,5,3,5,7,6,6,6,6,5,6,6,5,6,5,5,6,5,0,0,1
207,0,5501800,20,275090,19,365350,1,4,0,7,7,0,5,1070,0,7,7,7,4,5,7,7,7,4,5,6,5,5,5,4,5,5,5,5,5,4,5,5,0,0,1
208,0,16897630,37,456693,22,350495,1,2,0,6,6,1,6,1090,0,4,6,7,5,7,5,4,6,6,6,7,7,7,6,6,6,6,7,5,6,6,6,6,1,0,0
209,0,3728850,10,372885,30,380500,1,4,1,6,6,1,4,1079,0,7,7,7,3,3,7,7,7,4,5,6,5,5,5,4,5,5,5,5,5,4,5,5,0,0,1
210,0,3676000,14,262571,1,4250,1,4,0,6,6,1,9,1039,0,5,7,7,3,3,7,5,7,6,4,5,5,6,4,6,5,5,4,5,4,3,4,4,0,0,1
211,0,28710180,72,398753,8,260950,1,2,1,6,6,1,4,1062,1,7,7,7,6,7,5,6,6,6,6,6,7,7,6,5,5,6,5,5,4,5,5,5,1,0,0
212,0,5843090,18,324616,19,365600,1,4,1,6,6,1,1,1036,0,3,6,7,3,5,2,4,5,6,6,7,5,6,6,6,5,6,5,5,6,6,6,6,0,0,1
213,0,7659750,17,450574,5,130650,1,4,0,5,5,0,3,1054,0,7,7,7,3,5,7,7,7,5,6,6,5,6,5,5,5,6,5,5,6,6,5,6,0,0,1
214,0,40315740,82,491655,22,349550,1,2,1,6,6,1,6,1088,0,3,7,7,6,7,5,6,6,6,6,5,6,5,6,6,6,5,6,6,5,6,5,6,1,0,0
215,0,9310620,25,372425,20,348545,1,2,0,6,6,1,6,1090,0,4,6,7,4,6,5,4,6,6,6,5,6,6,5,6,6,5,6,7,7,6,6,6,1,0,0
216,1,3640770,10,364077,4,58895,1,4,1,5,5,1,6,685,0,3,7,2,3,3,2,3,5,7,6,5,.,.,7,6,5,6,7,6,6,5,6,6,0,0,1
217,0,6180840,52,118862,6,185600,1,2,0,6,6,1,6,1077,0,6,6,7,5,5,5,6,6,7,6,6,6,6,6,7,6,7,6,5,5,6,6,6,1,0,0
218,0,4473090,19,235426,12,303500,1,4,0,5,5,1,8,1063,0,2,4,7,3,4,2,5,5,7,7,7,7,7,6,6,4,6,5,6,6,7,5,5,0,0,1
219,0,5325450,26,204825,14,335295,1,4,1,5,5,1,4,1089,0,5,6,7,4,4,4,5,7,7,6,6,6,6,7,6,7,6,7,4,5,7,7,6,0,0,1
220,0,3142760,9,349196,15,325850,1,4,0,5,5,1,8,952,0,5,6,7,2,3,6,5,2,6,6,7,7,7,6,7,7,5,6,4,5,5,6,5,0,0,1
221,0,9425360,17,554433,12,303500,1,3,1,5,5,1,4,1067,0,5,5,7,3,6,6,5,7,6,6,5,6,.,5,6,6,6,5,4,6,5,6,6,0,1,0
222,0,7179840,37,194050,21,347250,1,2,1,7,7,1,5,1077,0,6,6,7,5,5,7,6,7,6,6,6,6,5,6,6,6,6,7,5,6,6,7,6,1,0,0
223,0,3540100,26,136158,4,77535,2,2,0,4,4,0,6,1094,0,6,7,7,4,3,6,6,6,6,6,7,6,6,6,7,7,7,7,7,6,6,6,7,1,0,0
224,0,10857770,17,638692,13,323795,1,3,1,6,6,1,4,950,0,4,5,6,3,6,3,5,6,7,6,7,6,.,5,6,6,6,5,6,4,5,6,5,0,1,0
225,0,5593530,8,699191,28,377845,1,3,1,5,5,1,1,1073,0,5,5,7,2,5,5,5,6,7,6,6,6,6,6,7,6,7,6,5,5,6,6,6,0,1,0
226,0,2606390,26,100246,17,365145,1,4,1,6,6,1,8,1042,0,3,5,7,4,2,4,7,5,6,5,7,.,.,6,6,5,6,5,6,7,6,6,6,0,0,1
227,0,2610000,16,163125,29,373550,2,4,0,4,4,1,6,1048,0,5,6,7,3,2,6,5,6,6,6,6,6,.,6,7,6,7,6,7,6,6,7,6,0,0,1
228,0,3394200,11,308564,8,261895,1,4,1,6,6,1,4,1026,0,5,6,7,3,3,4,5,5,6,7,7,6,6,6,7,7,7,7,7,7,6,6,6,0,0,1
229,0,16573000,28,591893,23,400600,2,3,1,4,4,1,7,1033,1,5,5,7,4,7,4,5,6,6,7,6,6,5,6,6,7,5,6,5,6,6,6,6,0,1,0
230,0,5713850,49,116609,23,379200,1,2,0,7,7,1,8,1060,0,2,4,7,5,5,2,5,5,7,7,6,6,6,6,7,6,6,6,4,4,6,6,6,1,0,0
231,0,5256550,17,309209,18,342645,2,4,1,4,4,1,7,1044,0,5,5,7,3,4,6,5,5,6,5,6,5,5,4,4,4,6,5,5,6,5,5,6,0,0,1
232,0,2284200,12,190350,25,358745,1,4,1,5,5,1,4,1050,0,5,6,7,3,1,6,5,4,6,6,6,6,.,6,7,6,7,6,7,6,6,7,6,0,0,1
233,0,11497390,32,359293,23,379150,1,2,0,6,6,1,6,1086,0,5,6,7,5,6,6,5,6,5,7,6,6,6,6,5,6,6,5,6,5,5,6,5,1,0,0
234,0,6188800,23,269078,22,351245,1,4,1,5,5,1,6,1071,0,5,7,7,4,5,4,5,5,6,5,5,.,.,6,5,7,5,6,6,6,6,5,6,0,0,1
235,0,4229450,24,176227,20,346450,2,4,0,4,4,1,1,1034,0,6,6,7,4,4,7,6,7,6,5,6,6,6,6,5,6,6,5,4,5,5,4,5,0,0,1
236,0,6042220,37,163303,1,6650,1,2,1,5,5,1,2,1088,0,6,6,7,5,5,7,6,6,7,6,6,5,5,7,6,6,6,6,5,6,5,5,5,1,0,0
237,0,4283890,40,107097,19,366695,1,2,0,6,6,1,5,1069,0,2,4,7,5,4,2,5,5,7,7,6,6,6,6,7,6,6,6,4,4,6,6,6,1,0,0
238,0,2807680,19,147773,22,349800,1,4,1,5,5,1,3,1036,0,6,6,7,3,2,7,6,7,7,6,6,7,6,6,6,5,6,5,6,5,6,5,5,0,0,1
239,0,5263020,44,119614,15,325795,1,2,0,5,5,1,7,1092,0,2,7,7,5,4,2,4,5,7,7,7,7,7,6,7,7,6,5,3,5,7,6,7,1,0,0
240,0,4612100,13,354777,3,43945,1,4,0,5,5,0,6,937,0,6,4,7,3,4,4,5,5,6,7,6,6,5,5,6,5,5,5,4,5,6,5,5,0,0,1
241,0,3166580,16,197911,13,344500,2,4,0,4,4,0,6,1041,0,3,6,7,3,3,3,4,6,6,7,7,6,6,6,6,6,7,7,6,6,7,7,7,0,0,1
242,0,8810680,25,352427,17,363700,2,4,0,4,4,1,7,1089,1,3,6,7,4,6,3,4,5,5,6,5,4,5,4,5,6,5,4,5,4,5,5,5,0,0,1
243,0,2903950,7,414850,21,347000,2,4,1,3,3,1,4,1023,0,7,7,7,2,2,5,3,2,6,6,6,7,7,6,5,5,6,5,5,4,5,5,5,0,0,1
244,0,6209150,16,388072,23,380395,1,4,0,7,7,1,4,1008,1,4,6,7,3,5,6,4,6,6,6,7,6,.,7,7,6,7,6,6,7,5,7,6,0,0,1
245,0,5084690,20,254235,19,365100,2,4,1,4,4,1,3,948,0,7,4,6,4,4,7,7,7,7,7,7,7,7,6,6,6,6,5,5,5,6,6,5,0,0,1
246,0,10521570,47,223863,29,374550,1,2,0,6,6,1,5,1073,0,3,4,7,5,6,3,6,5,6,6,5,5,5,4,5,4,5,5,6,6,7,7,6,1,0,0
247,0,7121100,9,791233,7,210945,2,3,1,3,3,1,6,1061,1,3,5,7,2,5,5,4,5,6,5,6,5,5,4,4,4,6,5,5,6,5,5,6,0,1,0
248,0,3123150,27,115672,3,43250,1,4,0,7,7,0,3,921,0,5,5,6,4,3,6,5,7,6,5,6,6,5,5,6,6,6,6,6,6,6,6,6,0,0,1
249,0,3382000,9,375778,27,355950,1,1,0,5,5,1,6,1074,0,5,7,7,2,3,4,3,5,7,6,7,6,6,7,6,6,6,6,6,7,6,6,7,0,0,0
250,0,5593050,15,372870,1,4945,1,4,0,6,6,1,9,981,0,2,7,7,3,5,1,3,5,6,5,6,5,5,6,5,6,6,5,5,4,5,4,5,0,0,1
251,0,4496920,5,899384,18,342145,1,3,0,5,5,1,5,883,0,6,7,7,1,4,4,5,3,6,5,6,6,5,5,5,7,5,5,5,6,6,6,5,0,1,0
252,0,3903900,14,278850,18,377500,2,1,1,4,4,0,6,1052,0,2,4,7,3,3,4,5,4,6,5,6,6,.,6,5,5,5,6,6,5,5,6,6,0,0,0
253,0,4009050,26,154194,19,367445,2,4,0,4,4,1,6,1067,0,4,5,7,4,4,6,5,6,7,6,4,5,6,7,6,5,5,7,6,5,4,5,6,0,0,1
254,0,3019450,13,232265,17,364395,1,1,1,5,5,1,6,1072,0,5,5,7,3,3,5,5,6,7,5,6,7,6,7,6,5,6,7,6,7,6,5,6,0,0,0
255,1,4303410,34,126571,22,350495,1,2,0,6,6,1,3,412,0,5,5,1,5,4,5,5,7,7,6,6,7,7,7,7,7,6,5,7,6,6,7,7,1,0,0
256,0,8661880,39,222099,27,357645,1,2,0,6,6,0,6,1070,0,6,6,7,5,6,4,6,7,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,1,0,0
257,1,9943020,18,552390,28,377095,1,3,0,5,5,1,4,650,0,3,7,2,3,6,2,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,5,0,1,0
258,0,5034030,36,139834,7,209750,1,2,1,7,7,1,4,1085,0,4,6,7,5,4,6,4,6,7,6,6,7,7,7,7,6,7,6,5,5,6,7,6,1,0,0
259,0,7497140,28,267755,12,302500,2,4,0,4,4,1,6,1086,0,3,5,7,4,5,5,3,5,6,6,6,.,.,5,6,6,6,5,6,5,7,6,6,0,0,1
260,0,4892350,16,305772,7,209500,2,4,0,3,3,1,4,849,0,5,7,5,3,4,6,5,6,7,7,6,7,6,6,7,6,6,6,6,6,6,6,6,0,0,1
261,1,16992070,32,531002,12,304445,1,3,0,7,7,1,2,578,0,4,4,1,5,7,5,5,4,5,6,6,6,5,6,5,6,5,6,6,6,6,6,6,0,1,0
262,0,6701280,26,257742,9,246600,1,4,1,5,5,1,7,1041,0,5,5,7,4,5,4,5,6,6,5,7,6,6,6,5,6,5,6,5,5,6,6,5,0,0,1
263,0,4665890,23,202865,29,374300,1,2,1,5,5,1,5,1065,0,4,4,7,4,4,5,4,6,6,7,7,6,6,7,7,6,5,6,7,6,6,6,6,1,0,0
264,0,5774020,81,71284,10,303450,1,2,0,7,7,1,3,1092,0,4,7,7,6,5,5,5,6,7,6,6,5,6,6,6,6,7,6,6,5,6,6,6,1,0,0
265,0,6740750,15,449383,20,346950,2,4,0,3,3,0,8,959,1,6,4,7,3,5,7,6,6,6,7,6,6,5,5,6,5,5,5,4,5,6,5,5,0,0,1
266,0,2441700,23,106161,18,341200,1,4,1,5,5,1,8,1076,0,7,7,7,4,1,7,7,7,5,5,6,.,6,6,5,5,6,5,5,5,6,6,5,0,0,1
267,0,9722820,41,237142,21,347500,1,2,0,5,5,1,8,1040,0,3,4,7,5,6,5,4,5,5,4,5,4,5,7,7,6,7,6,5,4,5,5,5,1,0,0
268,0,3857670,9,428630,5,132095,2,4,0,4,4,1,8,1044,0,4,5,7,2,3,3,4,6,6,6,6,.,.,6,7,6,6,5,6,5,6,6,6,0,0,1
269,0,5804330,16,362771,27,357395,1,4,1,5,5,1,1,985,0,6,7,6,3,5,6,6,7,6,7,6,6,6,6,7,6,6,7,5,5,6,6,6,0,0,1
270,0,4387120,30,146237,21,347000,2,2,1,4,4,1,2,1034,0,3,3,7,5,4,4,4,7,6,6,6,6,6,6,6,5,7,6,6,5,6,6,6,1,0,0
271,0,2644600,13,203431,8,262145,2,4,1,4,4,1,7,1091,0,3,4,7,3,2,5,5,4,6,4,5,5,6,4,6,5,5,4,5,4,3,4,4,0,0,1
272,0,14699990,45,326666,20,347100,1,2,1,6,6,1,5,1067,0,5,5,7,5,7,6,5,5,6,5,6,5,5,4,4,4,6,5,5,6,5,5,6,1,0,0
273,0,4897520,10,489752,23,379150,1,1,0,6,6,0,2,910,0,6,6,7,3,4,5,6,6,4,5,5,4,5,4,4,5,5,4,5,6,5,5,5,0,0,0
274,0,2434190,9,270466,18,340950,1,4,0,5,5,1,4,987,0,5,6,7,2,1,4,5,5,6,5,6,6,7,6,5,6,6,7,4,5,5,5,5,0,0,1
275,0,4090600,8,511325,1,7900,2,3,0,4,4,0,5,1003,0,4,6,7,2,4,3,4,5,7,6,6,5,5,5,6,7,6,5,5,7,6,6,6,0,1,0
276,0,2774770,30,92492,30,380250,1,2,1,5,5,1,2,1008,0,4,5,7,5,2,5,6,6,4,6,5,4,6,6,4,5,4,6,5,4,5,6,5,1,0,0
277,0,3217910,6,536318,5,131345,2,3,1,4,4,1,6,1013,0,6,6,7,2,3,6,5,5,6,5,5,5,6,5,5,6,5,6,5,5,6,6,6,0,1,0
278,0,3326760,44,75608,24,380400,1,2,1,5,5,1,5,1082,0,3,4,7,5,3,7,6,7,6,7,6,6,6,6,5,6,6,6,5,6,6,7,6,1,0,0
279,0,11918170,56,212824,21,347500,1,2,0,7,7,0,3,1091,0,2,4,7,5,6,4,4,4,6,5,6,6,.,6,5,5,5,6,6,5,5,6,6,1,0,0
280,0,10767840,32,336495,11,295950,1,2,1,7,7,1,3,1089,0,5,6,7,5,6,6,5,6,7,7,7,6,7,6,6,5,6,5,5,3,6,6,6,1,0,0
281,0,3221670,19,169562,10,305145,1,4,1,5,5,1,6,1027,0,5,6,7,3,3,6,5,6,7,6,6,5,6,5,5,6,5,5,5,5,5,5,5,0,0,1
282,0,3703120,12,308593,29,374495,1,4,0,6,6,1,4,1056,0,6,6,7,3,3,5,6,6,5,6,6,6,5,6,5,6,5,6,6,6,7,6,6,0,0,1
283,0,17469330,65,268759,26,365845,1,2,0,5,5,1,8,1084,0,4,6,7,6,7,7,5,6,6,6,5,6,.,5,6,6,6,5,4,6,5,6,6,1,0,0
284,0,5362500,10,536250,25,357800,1,3,0,5,5,0,2,742,0,4,6,4,3,4,6,3,6,6,6,7,6,.,7,7,6,7,6,6,7,5,7,6,0,1,0
285,0,52732470,45,1171833,20,347795,1,3,0,6,6,0,5,1086,0,2,4,7,5,7,5,4,4,7,7,6,6,4,7,6,7,6,7,6,7,6,7,6,0,1,0
286,0,2760630,20,138032,17,363450,1,4,1,5,5,1,1,1025,0,4,6,7,4,2,4,4,5,6,6,6,6,.,6,5,6,6,5,6,5,6,6,6,0,0,1
287,0,3604050,60,60068,19,365350,2,2,0,4,4,1,7,1076,0,7,7,7,6,3,5,7,4,6,5,5,6,5,5,5,6,6,5,4,5,5,5,4,1,0,0
288,0,2334950,22,106134,4,57950,2,4,0,4,4,1,3,1058,0,6,6,7,4,1,5,6,6,5,6,6,6,5,6,5,6,5,6,6,6,7,6,6,0,0,1
289,0,13253860,52,254882,24,360195,1,2,0,7,7,1,5,1083,0,4,7,7,5,7,6,5,6,7,6,6,6,5,6,6,7,7,7,5,5,6,6,6,1,0,0
290,0,2895200,24,120633,22,350300,2,4,1,4,4,1,7,1037,1,5,6,7,4,2,6,5,7,6,6,6,6,6,6,7,6,6,6,6,7,6,6,6,0,0,1
291,0,3781330,15,252089,10,304395,1,4,0,5,5,1,3,1036,0,5,6,7,3,3,6,5,5,5,5,6,7,6,5,5,6,7,7,5,6,6,5,5,0,0,1
292,0,3657800,7,522543,8,262645,1,3,1,6,6,1,6,1039,0,2,6,7,2,3,2,4,5,6,7,6,6,6,6,7,6,6,7,5,5,6,6,6,0,1,0
293,0,4060740,14,290053,3,43195,2,4,1,4,4,1,3,916,0,6,6,5,3,4,5,6,6,7,6,6,6,6,6,7,6,7,6,5,5,6,6,6,0,0,1
294,0,6388270,61,104726,12,303945,1,2,0,7,7,1,6,1089,0,5,6,7,6,5,5,6,7,5,6,6,5,6,5,6,6,6,5,5,6,6,5,6,1,0,0
295,0,2772650,7,396093,20,347895,1,4,1,5,5,1,7,967,0,3,6,7,2,2,4,5,5,6,6,5,6,6,6,6,7,6,7,6,6,6,6,6,0,0,1
296,0,4318920,18,239940,4,57950,1,4,0,5,5,1,6,875,0,6,6,5,3,4,7,6,6,6,5,6,5,6,7,6,5,7,6,5,6,6,5,6,0,0,1
297,0,3955770,65,60858,23,379700,1,2,1,7,7,1,4,1079,0,2,7,7,6,3,6,7,6,4,5,6,6,5,6,5,6,7,6,6,6,5,5,5,1,0,0
298,0,3876020,31,125033,30,381945,1,4,1,6,6,1,2,1070,0,3,6,7,5,3,3,4,5,6,5,5,6,5,6,6,6,6,7,4,6,6,5,6,0,0,1
299,1,3463340,6,577223,23,380395,2,3,1,2,2,1,4,467,0,6,7,7,2,3,5,6,6,6,7,6,6,6,6,6,7,6,6,6,6,6,6,6,0,1,0
300,0,3660490,37,98932,1,369700,2,2,1,3,3,1,3,1092,0,4,7,7,5,3,6,4,6,7,7,6,6,6,7,7,7,6,7,4,5,6,6,6,1,0,0
301,0,13372390,91,146949,30,380000,1,2,1,6,6,1,3,1088,0,5,7,7,7,7,7,7,7,5,6,5,5,5,5,6,5,5,6,6,5,6,5,6,1,0,0
302,0,12113700,12,1009475,10,305145,1,3,0,6,6,1,3,1048,0,6,6,7,3,6,5,3,2,4,5,5,4,5,4,4,5,5,4,5,6,5,5,5,0,1,0
303,0,6596430,23,286801,26,366595,1,4,0,6,6,1,4,1090,0,2,3,7,4,5,2,4,4,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,0,0,1
304,0,3452450,17,203085,27,357145,2,4,1,4,4,1,7,1081,0,6,6,7,3,3,7,6,6,7,6,6,7,6,6,7,6,6,6,6,5,6,6,6,0,0,1
305,0,6573700,93,70685,29,374050,1,2,0,6,6,1,4,1089,0,6,7,7,7,5,7,6,6,5,6,6,7,6,5,5,6,6,5,5,5,6,5,5,1,0,0
